,INFECTED_HO,QUARANTINED,DECEASED,POSITIVE
254,1167.0,16999.0,2391.0,18715.0
255,1240.0,18610.0,2410.0,20519.0
256,1305.0,20050.0,2430.0,22619.0
257,1395.0,21730.0,2454.0,24588.0
258,1439.0,22455.0,2472.0,25547.0
259,1524.0,22709.0,2497.0,25700.0
260,1631.0,24548.0,2521.0,28461.0
261,1733.0,25983.0,2557.0,30504.0
262,1818.0,27630.0,2588.0,32530.0
263,1897.0,29098.0,2624.0,34800.0
264,1979.0,30534.0,2658.0,36783.0
265,2076.0,30876.0,2696.0,37477.0
266,2170.0,31091.0,2731.0,37212.0
267,2329.0,33015.0,2772.0,39619.0
268,2458.0,34406.0,2814.0,40792.0
269,2543.0,35865.0,2848.0,41801.0
270,2600.0,37095.0,2894.0,43184.0
271,2666.0,39787.0,2946.0,44312.0
272,2722.0,40420.0,3006.0,43674.0
273,2759.0,40006.0,3050.0,43317.0
274,2890.0,42054.0,3110.0,45885.0
275,2937.0,43186.0,3164.0,46396.0
276,2989.0,44126.0,3236.0,47371.0
277,3032.0,45132.0,3302.0,48269.0
278,3044.0,46314.0,3365.0,49179.0
279,3052.0,45895.0,3424.0,47907.0
280,3098.0,45044.0,3487.0,46964.0
281,3240.0,46342.0,3548.0,49224.0
282,3285.0,46451.0,3629.0,48701.0
283,3294.0,46508.0,3713.0,48584.0
284,3288.0,46707.0,3798.0,49146.0
285,3297.0,46868.0,3870.0,49653.0
286,3285.0,46067.0,3952.0,48419.0
287,3297.0,44999.0,4033.0,47501.0
288,3420.0,46581.0,4103.0,50011.0
289,3473.0,46811.0,4183.0,49936.0
290,3446.0,47544.0,4275.0,50647.0
291,3455.0,47998.0,4375.0,51608.0
292,3464.0,48912.0,4463.0,52739.0
293,3414.0,48714.0,4545.0,51914.0
294,3460.0,48126.0,4652.0,50969.0
295,3579.0,49921.0,4747.0,54077.0
296,3545.0,48877.0,4843.0,51458.0
297,3648.0,50813.0,4930.0,54681.0
298,3667.0,52056.0,5011.0,55852.0
299,3660.0,53562.0,5104.0,56288.0
300,3619.0,53312.0,5205.0,55663.0
301,3588.0,52512.0,5298.0,54609.0
302,3705.0,54452.0,5376.0,57820.0
303,3743.0,55041.0,5471.0,57979.0
304,3677.0,55497.0,5566.0,58446.0
305,3653.0,56007.0,5674.0,59286.0
306,3605.0,56953.0,5789.0,60412.0
307,3561.0,56457.0,5884.0,59632.0
308,3580.0,55510.0,5983.0,58330.0
309,3710.0,56890.0,6081.0,61366.0
310,3668.0,57332.0,6179.0,60832.0
311,3599.0,58275.0,6274.0,61335.0
312,3581.0,58655.0,6361.0,62076.0
313,3498.0,57092.0,6464.0,59906.0
314,3560.0,56634.0,6569.0,60829.0
315,3624.0,56447.0,6664.0,60270.0
316,3709.0,58069.0,6769.0,62382.0
317,3697.0,58279.0,6876.0,61837.0
318,3654.0,58549.0,6975.0,61303.0
319,3604.0,57888.0,7079.0,61192.0
320,3513.0,55388.0,7175.0,58729.0
321,3570.0,55338.0,7258.0,59740.0
322,3565.0,54111.0,7335.0,57817.0
323,3661.0,54713.0,7451.0,60226.0
324,3616.0,54196.0,7562.0,58811.0
325,3466.0,52497.0,7655.0,56586.0
326,3494.0,52137.0,7731.0,57993.0
327,3427.0,51126.0,7815.0,56116.0
328,3317.0,48995.0,7886.0,53702.0
329,3283.0,46859.0,7964.0,51413.0
330,3335.0,45712.0,8059.0,51633.0
331,3253.0,43868.0,8143.0,48925.0
332,3126.0,42416.0,8218.0,46999.0
333,3049.0,40438.0,8271.0,45494.0
334,2929.0,38923.0,8358.0,43256.0
335,2779.0,36663.0,8414.0,40285.0
336,2735.0,34417.0,8487.0,38443.0
